Elbow,SecurityType,Currency,NetAmount,Quantity
0,CB,USD,2740336.2,2765000
0,CB,USD,1836754,1850000
0,CB,USD,3270000,3270000
0,CB,USD,3343575,3270000
0,CB,USD,1673710.25,1675000
0,CB,USD,1721699,1675000
0,CB,USD,3047625,3010000
0,CB,USD,3010000,3010000
0,CB,USD,3222956.25,3195000
0,CB,USD,3195000,3195000
0,CB,USD,2900000,2900000
0,CB,USD,2452923,2475000
0,CB,USD,2873449.8,2810000
0,CB,USD,4200000,4200000
0,CB,USD,1720000,1720000
0,CB,USD,1702595.7,1665000
0,CB,USD,2485000,2485000
0,CB,USD,1800810,1700000
0,CB,USD,1694152,1700000
0,CB,USD,2285000,2285000
0,CB,USD,2313562.5,2285000
0,CB,USD,2455323.75,2475000
0,CB,USD,1714568.4,1730000
0,CB,USD,3964320,4000000
0,CB,USD,3149758.75,3175000
0,CB,USD,1929100,1910000
0,CB,USD,1910000,1910000
0,CB,USD,2491250,2500000
0,CB,USD,2528350,2500000
0,CB,USD,3184775,3130000
0,CB,USD,3130000,3130000
0,CB,USD,3270000,3270000
0,CB,USD,3343575,3270000
0,CB,USD,2491250,2500000
0,CB,USD,2528350,2500000
0,CB,USD,2740336.2,2765000
0,CB,USD,3149758.75,3175000
0,CB,USD,1720000,1720000
0,CB,USD,3047625,3010000
0,CB,USD,3010000,3010000
0,CB,USD,2285000,2285000
0,CB,USD,2313562.5,2285000
0,CB,USD,2455323.75,2475000
0,CB,USD,1673710.25,1675000
0,CB,USD,1721699,1675000
0,CB,USD,3964320,4000000
0,CB,USD,3184775,3130000
0,CB,USD,3130000,3130000
0,CB,USD,1800810,1700000
0,CB,USD,1694152,1700000
0,CB,USD,2452923,2475000
0,CB,USD,1702595.7,1665000
0,CB,USD,2485000,2485000
0,CB,USD,1836754,1850000
0,CB,USD,3222956.25,3195000
0,CB,USD,3195000,3195000
0,CB,USD,2873449.8,2810000
0,CB,USD,4200000,4200000
0,CB,USD,1714568.4,1730000
0,CB,USD,1929100,1910000
0,CB,USD,1910000,1910000
0,CB,USD,2900000,2900000
0,CB,USD,2452923,2475000
0,CB,USD,1714568.4,1730000
0,CB,USD,1929100,1910000
0,CB,USD,1910000,1910000
0,CB,USD,2285000,2285000
0,CB,USD,2313562.5,2285000
0,CB,USD,1702595.7,1665000
0,CB,USD,2485000,2485000
0,CB,USD,3270000,3270000
0,CB,USD,3343575,3270000
0,CB,USD,2491250,2500000
0,CB,USD,2528350,2500000
0,CB,USD,2455323.75,2475000
0,CB,USD,2900000,2900000
0,CB,USD,3222956.25,3195000
0,CB,USD,3195000,3195000
0,CB,USD,3964320,4000000
0,CB,USD,1720000,1720000
0,CB,USD,3047625,3010000
0,CB,USD,3010000,3010000
0,CB,USD,2740336.2,2765000
0,CB,USD,1673710.25,1675000
0,CB,USD,1721699,1675000
0,CB,USD,1836754,1850000
0,CB,USD,3184775,3130000
0,CB,USD,3130000,3130000
0,CB,USD,3149758.75,3175000
0,CB,USD,1800810,1700000
0,CB,USD,1694152,1700000
0,CB,USD,2873449.8,2810000
0,CB,USD,4200000,4200000
0,CB,USD,2873449.8,2810000
0,CB,USD,4200000,4200000
0,CB,USD,1836754,1850000
0,CB,USD,2455323.75,2475000
0,CB,USD,1714568.4,1730000
0,CB,USD,3149758.75,3175000
0,CB,USD,3222956.25,3195000
0,CB,USD,3195000,3195000
0,CB,USD,1720000,1720000
0,CB,USD,1800810,1700000
0,CB,USD,1694152,1700000
0,CB,USD,3047625,3010000
0,CB,USD,3010000,3010000
0,CB,USD,2491250,2500000
0,CB,USD,2528350,2500000
0,CB,USD,2900000,2900000
0,CB,USD,3184775,3130000
0,CB,USD,3130000,3130000
0,CB,USD,1702595.7,1665000
0,CB,USD,2485000,2485000
0,CB,USD,1673710.25,1675000
0,CB,USD,1721699,1675000
0,CB,USD,2285000,2285000
0,CB,USD,2313562.5,2285000
0,CB,USD,1929100,1910000
0,CB,USD,1910000,1910000
0,CB,USD,3964320,4000000
0,CB,USD,2452923,2475000
0,CB,USD,3270000,3270000
0,CB,USD,3343575,3270000
0,CB,USD,2740336.2,2765000
